FreezerID,TrayID,TrayPositionInFreezer,TrayBarcode,RackID,RackPositionInTray,WellID,SampleID,SampleBarcode,Pick
1,1,01-01,5920499106,1,1,A10,10,27959536,0
1,1,01-01,5920499106,1,5,A11,11,25560410,0
1,1,01-01,5920499106,1,2,A12,12,27959700,0
1,1,01-01,5920499106,1,2,B01,13,27973365,1
1,1,01-01,5920499106,1,1,B02,14,27923152,0
1,1,01-01,5920499106,1,4,B03,15,27970465,0
1,1,01-01,5920499106,1,1,B04,16,21544361,0
1,1,01-01,5920499106,1,6,B05,17,27962861,0
1,1,01-01,5920499106,1,2,B06,18,27935160,0
1,1,01-01,5920499106,1,5,B07,19,27922809,0
1,1,01-01,5920499106,1,1,B08,20,27933619,1
1,1,01-01,5920499106,1,2,B09,21,27933895,0
1,1,01-01,5920499106,1,3,B10,22,27923188,0
1,1,01-01,5920499106,1,6,B11,23,27933427,0
1,1,01-01,5920499106,1,2,B12,24,27959501,0
1,1,01-01,5920499106,1,3,C01,25,25170268,0
1,1,01-01,5920499106,1,2,C02,26,27964001,0
1,1,01-01,5920499106,1,4,C03,27,27964519,0
1,1,01-01,5920499106,1,1,C04,28,27927940,0
1,1,01-01,5920499106,1,6,C05,29,27969947,1
1,1,01-01,5920499106,1,6,C06,30,27964049,0
1,1,01-01,5920499106,1,4,C07,31,27933628,0
1,1,01-01,5920499106,1,5,C08,32,27959447,0
1,1,01-01,5920499106,1,1,C09,33,27959799,0
1,1,01-01,5920499106,1,4,C10,34,8009163146,0
1,1,01-01,5920499106,1,3,C11,35,25452574,0
1,1,01-01,5920499106,1,2,C12,36,27966115,1
1,1,01-01,5920499106,1,1,D01,37,27955548,0
1,1,01-01,5920499106,1,1,D02,38,25560642,0
1,1,01-01,5920499106,1,1,D03,39,25558390,0
1,1,01-01,5920499106,1,1,D04,40,27960593,0
1,1,01-01,5920499106,1,2,D05,41,25558576,0
1,1,01-01,5920499106,1,3,D06,42,27953357,0
1,1,01-01,5920499106,1,4,D07,43,25449477,0
1,1,01-01,5920499106,1,5,D08,44,25171969,0
1,1,01-01,5920499106,1,6,D09,45,27932420,0
1,1,01-01,5920499106,1,6,D10,46,27971428,0
1,1,01-01,5920499106,1,5,D11,47,27972200,0
1,1,01-01,5920499106,1,4,D12,48,27966446,0
1,1,01-01,5920499106,1,3,E01,49,27967459,0
1,1,01-01,5920499106,1,3,E02,50,27928142,0
1,1,01-01,5920499106,1,2,E03,51,25558168,0
1,1,01-01,5920499106,1,1,E04,52,27959952,0
1,1,01-01,5920499106,1,1,E05,53,8009162759,0
1,1,01-01,5920499106,1,3,E06,54,8009163490,0
1,1,01-01,5920499106,1,6,E07,55,8009163496,0
1,1,01-01,5920499106,1,1,E08,56,25171547,0
1,1,01-01,5920499106,1,1,E09,57,25171776,0
1,1,01-01,5920499106,1,1,E10,58,27948586,0
1,1,01-01,5920499106,1,6,E11,59,27927204,0
1,1,01-01,5920499106,1,6,E12,60,25171994,0
1,1,01-01,5920499106,1,4,F01,61,21678020,0
1,1,01-01,5920499106,1,5,F02,62,27981295,0
1,1,01-01,5920499106,1,1,F03,63,27960150,0
1,1,01-01,5920499106,1,4,F04,64,8009163119,0
1,1,01-01,5920499106,1,3,F05,65,8009162900,1
1,1,01-01,5920499106,1,2,F06,66,8009163389,0
1,1,01-01,5920499106,1,1,F07,67,8006104995,0
1,1,01-01,5920499106,1,1,F08,68,8006104450,0
1,1,01-01,5920499106,1,1,F09,69,8009163074,0
1,1,01-01,5920499106,1,1,F10,70,27932608,0
1,1,01-01,5920499106,1,2,F11,71,27965723,0
1,1,01-01,5920499106,1,3,F12,72,25171549,0
1,1,01-01,5920499106,1,4,G01,73,21678062,0
1,1,01-01,5920499106,1,5,G02,74,27973712,0
1,1,01-01,5920499106,1,6,G03,75,8009163505,0
